Date : 2025-09-13 15:30:23
Directory : /home/david/workspace/GenFlow
Total : 374 files,  44189 codes, 113 comments, 2632 blanks, all 46934 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/david/workspace/GenFlow/services/api-test/src/auth/auth.module.ts                                                           | TypeScript         |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/api-test/src/auth/auth.service.ts                                                          | TypeScript         |         38 |          0 |         10 |         48 |
| /home/david/workspace/GenFlow/services/api-test/src/email/email.controller.ts                                                     | TypeScript         |         12 |          0 |          3 |         15 |
| /home/david/workspace/GenFlow/services/api-test/src/email/email.module.ts                                                         | TypeScript         |         11 |          0 |          1 |         12 |
| /home/david/workspace/GenFlow/services/api-test/src/email/email.provider.ts                                                       | TypeScript         |         15 |          0 |          2 |         17 |
| /home/david/workspace/GenFlow/services/api-test/src/email/email.service.ts                                                        | TypeScript         |         20 |          0 |          5 |         25 |
| /home/david/workspace/GenFlow/services/api-test/src/guards/auth.guard.ts                                                          | TypeScript         |         46 |          0 |          8 |         54 |
| /home/david/workspace/GenFlow/services/api-test/src/guards/auth.public.ts                                                         | TypeScript         |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/api-test/src/main.ts                                                                       | TypeScript         |         19 |          0 |         10 |         29 |
| /home/david/workspace/GenFlow/services/api-test/src/project/project.controller.ts                                                 | TypeScript         |         28 |          0 |          7 |         35 |
| /home/david/workspace/GenFlow/services/api-test/src/project/project.module.ts                                                     | TypeScript         |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/api-test/src/project/project.service.ts                                                    | TypeScript         |         54 |          0 |         18 |         72 |
| /home/david/workspace/GenFlow/services/api-test/src/socketio/socketio.controller.ts                                               | TypeScript         |         12 |          0 |          3 |         15 |
| /home/david/workspace/GenFlow/services/api-test/src/socketio/socketio.module.ts                                                   | TypeScript         |         11 |          0 |          1 |         12 |
| /home/david/workspace/GenFlow/services/api-test/src/socketio/socketio.provider.ts                                                 | TypeScript         |         15 |          0 |          2 |         17 |
| /home/david/workspace/GenFlow/services/api-test/src/socketio/socketio.service.ts                                                  | TypeScript         |         19 |          0 |          5 |         24 |
| /home/david/workspace/GenFlow/services/api-test/src/team/team.controller.ts                                                       | TypeScript         |         28 |          0 |          7 |         35 |
| /home/david/workspace/GenFlow/services/api-test/src/team/team.module.ts                                                           | TypeScript         |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/api-test/src/team/team.service.ts                                                          | TypeScript         |         45 |          0 |         16 |         61 |
| /home/david/workspace/GenFlow/services/api-test/src/types/authenticated-request.ts                                                | TypeScript         |          4 |          0 |          2 |          6 |
| /home/david/workspace/GenFlow/services/api-test/src/user/user.controller.ts                                                       | TypeScript         |         16 |          0 |          5 |         21 |
| /home/david/workspace/GenFlow/services/api-test/src/user/user.module.ts                                                           | TypeScript         |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/api-test/src/user/user.service.ts                                                          | TypeScript         |         40 |          0 |         14 |         54 |
| /home/david/workspace/GenFlow/services/api-test/tsconfig.app.json                                                                 | JSON               |         13 |          1 |          1 |         15 |
| /home/david/workspace/GenFlow/services/api-test/tsconfig.json                                                                     | JSON with Comments |         34 |          0 |          1 |         35 |
| /home/david/workspace/GenFlow/services/api/package.json                                                                           | JSON               |         45 |          0 |          1 |         46 |
| /home/david/workspace/GenFlow/services/api/project.json                                                                           | JSON               |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/api/src/api/api.module.ts                                                                  | TypeScript         |         42 |          0 |          7 |         49 |
| /home/david/workspace/GenFlow/services/api/src/api/api.service.ts                                                                 | TypeScript         |         37 |          0 |          6 |         43 |
| /home/david/workspace/GenFlow/services/api/src/auth/auth.controller.ts                                                            | TypeScript         |         27 |          0 |          5 |         32 |
| /home/david/workspace/GenFlow/services/api/src/auth/auth.module.ts                                                                | TypeScript         |         11 |          0 |          1 |         12 |
| /home/david/workspace/GenFlow/services/api/src/auth/auth.service.ts                                                               | TypeScript         |         44 |          0 |         13 |         57 |
| /home/david/workspace/GenFlow/services/api/src/email/email.controller.ts                                                          | TypeScript         |         12 |          0 |          3 |         15 |
| /home/david/workspace/GenFlow/services/api/src/email/email.module.ts                                                              | TypeScript         |         12 |          0 |          1 |         13 |
| /home/david/workspace/GenFlow/services/api/src/email/email.provider.ts                                                            | TypeScript         |         15 |          0 |          2 |         17 |
| /home/david/workspace/GenFlow/services/api/src/email/email.service.ts                                                             | TypeScript         |         22 |          0 |          5 |         27 |
| /home/david/workspace/GenFlow/services/api/src/genworker/genworker.controller.ts                                                  | TypeScript         |         44 |          0 |          9 |         53 |
| /home/david/workspace/GenFlow/services/api/src/genworker/genworker.module.ts                                                      | TypeScript         |         11 |          0 |          1 |         12 |
| /home/david/workspace/GenFlow/services/api/src/genworker/genworker.service.ts                                                     | TypeScript         |         80 |          0 |         31 |        111 |
| /home/david/workspace/GenFlow/services/api/src/guards/auth.guard.ts                                                               | TypeScript         |         46 |          0 |          8 |         54 |
| /home/david/workspace/GenFlow/services/api/src/guards/auth.public.ts                                                              | TypeScript         |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/api/src/main.ts                                                                            | TypeScript         |         19 |          0 |         10 |         29 |
| /home/david/workspace/GenFlow/services/api/src/project/project.controller.ts                                                      | TypeScript         |         42 |          1 |         11 |         54 |
| /home/david/workspace/GenFlow/services/api/src/project/project.module.ts                                                          | TypeScript         |         11 |          0 |          1 |         12 |
| /home/david/workspace/GenFlow/services/api/src/project/project.service.ts                                                         | TypeScript         |         51 |          0 |         21 |         72 |
| /home/david/workspace/GenFlow/services/api/src/socketio/socketio.controller.ts                                                    | TypeScript         |         12 |          0 |          3 |         15 |
| /home/david/workspace/GenFlow/services/api/src/socketio/socketio.module.ts                                                        | TypeScript         |         12 |          0 |          1 |         13 |
| /home/david/workspace/GenFlow/services/api/src/socketio/socketio.provider.ts                                                      | TypeScript         |         15 |          0 |          2 |         17 |
| /home/david/workspace/GenFlow/services/api/src/socketio/socketio.service.ts                                                       | TypeScript         |         21 |          0 |          5 |         26 |
| /home/david/workspace/GenFlow/services/api/src/team/team.controller.ts                                                            | TypeScript         |         28 |          0 |          8 |         36 |
| /home/david/workspace/GenFlow/services/api/src/team/team.module.ts                                                                | TypeScript         |         11 |          0 |          1 |         12 |
| /home/david/workspace/GenFlow/services/api/src/team/team.service.ts                                                               | TypeScript         |         43 |          0 |         16 |         59 |
| /home/david/workspace/GenFlow/services/api/src/types/authenticated-request.ts                                                     | TypeScript         |          4 |          0 |          2 |          6 |
| /home/david/workspace/GenFlow/services/api/src/user/user.controller.ts                                                            | TypeScript         |         16 |          0 |          5 |         21 |
| /home/david/workspace/GenFlow/services/api/src/user/user.module.ts                                                                | TypeScript         |         11 |          0 |          1 |         12 |
| /home/david/workspace/GenFlow/services/api/src/user/user.service.ts                                                               | TypeScript         |         38 |          0 |         12 |         50 |
| /home/david/workspace/GenFlow/services/api/tsconfig.app.json                                                                      | JSON               |         13 |          1 |          1 |         15 |
| /home/david/workspace/GenFlow/services/api/tsconfig.json                                                                          | JSON with Comments |         34 |          0 |          1 |         35 |
| /home/david/workspace/GenFlow/services/auth/package.json                                                                          | JSON               |         45 |          0 |          1 |         46 |
| /home/david/workspace/GenFlow/services/auth/project.json                                                                          | JSON               |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/auth/src/auth/auth.controller.ts                                                           | TypeScript         |         38 |          0 |          7 |         45 |
| /home/david/workspace/GenFlow/services/auth/src/auth/auth.module.ts                                                               | TypeScript         |         21 |          0 |          5 |         26 |
| /home/david/workspace/GenFlow/services/auth/src/auth/auth.service.ts                                                              | TypeScript         |        121 |          0 |         30 |        151 |
| /home/david/workspace/GenFlow/services/auth/src/auth/email.provider.ts                                                            | TypeScript         |         15 |          0 |          2 |         17 |
| /home/david/workspace/GenFlow/services/auth/src/main.ts                                                                           | TypeScript         |         27 |          0 |          8 |         35 |
| /home/david/workspace/GenFlow/services/auth/tsconfig.app.json                                                                     | JSON               |         13 |          1 |          1 |         15 |
| /home/david/workspace/GenFlow/services/auth/tsconfig.json                                                                         | JSON with Comments |         33 |          0 |          1 |         34 |
| /home/david/workspace/GenFlow/services/email/package.json                                                                         | JSON               |         45 |          0 |          1 |         46 |
| /home/david/workspace/GenFlow/services/email/project.json                                                                         | JSON               |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/email/src/email/custom.provider.ts                                                         | TypeScript         |          7 |          0 |          1 |          8 |
| /home/david/workspace/GenFlow/services/email/src/email/email.consumer.ts                                                          | TypeScript         |         18 |          0 |          4 |         22 |
| /home/david/workspace/GenFlow/services/email/src/email/email.module.ts                                                            | TypeScript         |         19 |          0 |          5 |         24 |
| /home/david/workspace/GenFlow/services/email/src/email/email.service.ts                                                           | TypeScript         |         14 |          0 |          7 |         21 |
| /home/david/workspace/GenFlow/services/email/src/main.ts                                                                          | TypeScript         |         27 |          0 |          6 |         33 |
| /home/david/workspace/GenFlow/services/email/tsconfig.app.json                                                                    | JSON               |         13 |          1 |          1 |         15 |
| /home/david/workspace/GenFlow/services/email/tsconfig.json                                                                        | JSON with Comments |         33 |          0 |          1 |         34 |
| /home/david/workspace/GenFlow/services/gateway/package.json                                                                       | JSON               |         45 |          0 |          1 |         46 |
| /home/david/workspace/GenFlow/services/gateway/project.json                                                                       | JSON               |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/gateway/src/app/app.module.ts                                                              | TypeScript         |         18 |          0 |          5 |         23 |
| /home/david/workspace/GenFlow/services/gateway/src/main.ts                                                                        | TypeScript         |         23 |          0 |         10 |         33 |
| /home/david/workspace/GenFlow/services/gateway/src/proxy/proxy.module.ts                                                          | TypeScript         |         47 |          0 |          4 |         51 |
| /home/david/workspace/GenFlow/services/gateway/tsconfig.app.json                                                                  | JSON               |         13 |          1 |          1 |         15 |
| /home/david/workspace/GenFlow/services/gateway/tsconfig.json                                                                      | JSON with Comments |         33 |          0 |          1 |         34 |
| /home/david/workspace/GenFlow/services/genworker-app/project.json                                                                 | JSON               |         19 |          0 |          1 |         20 |
| /home/david/workspace/GenFlow/services/genworker-app/src/adapters/gateways/AuthGateway.py                                         | Python             |          9 |          0 |          2 |         11 |
| /home/david/workspace/GenFlow/services/genworker-app/src/adapters/gateways/PackagesGateway.py                                     | Python             |         10 |          0 |          4 |         14 |
| /home/david/workspace/GenFlow/services/genworker-app/src/adapters/gateways/TaskSchedulerGateway.py                                | Python             |         29 |          0 |          7 |         36 |
| /home/david/workspace/GenFlow/services/genworker-app/src/adapters/repos/AuthRepo.py                                               | Python             |         20 |          0 |          8 |         28 |
| /home/david/workspace/GenFlow/services/genworker-app/src/adapters/repos/FilesRepo.py                                              | Python             |         11 |          0 |          5 |         16 |
| /home/david/workspace/GenFlow/services/genworker-app/src/adapters/repos/NodeRepo.py                                               | Python             |         19 |          0 |         12 |         31 |
| /home/david/workspace/GenFlow/services/genworker-app/src/adapters/repos/TaskRepo.py                                               | Python             |         10 |          0 |          7 |         17 |
| /home/david/workspace/GenFlow/services/genworker-app/src/dispatch.py                                                              | Python             |          6 |          0 |          2 |          8 |
| /home/david/workspace/GenFlow/services/genworker-app/src/domain/Auth.py                                                           | Python             |         43 |          0 |         12 |         55 |
| /home/david/workspace/GenFlow/services/genworker-app/src/domain/CpuWorker.py                                                      | Python             |         17 |          1 |          8 |         26 |
| /home/david/workspace/GenFlow/services/genworker-app/src/domain/Domain.py                                                         | Python             |         27 |          0 |         10 |         37 |
| /home/david/workspace/GenFlow/services/genworker-app/src/domain/FileSystem.py                                                     | Python             |         12 |          0 |          5 |         17 |
| /home/david/workspace/GenFlow/services/genworker-app/src/domain/Node.py                                                           | Python             |         22 |          0 |         10 |         32 |
| /home/david/workspace/GenFlow/services/genworker-app/src/domain/Packages.py                                                       | Python             |         26 |          0 |         12 |         38 |
| /home/david/workspace/GenFlow/services/genworker-app/src/domain/TaskScheduler.py                                                  | Python             |         66 |          1 |         20 |         87 |
| /home/david/workspace/GenFlow/services/genworker-app/src/event_queue.py                                                           | Python             |          2 |          0 |          2 |          4 |
| /home/david/workspace/GenFlow/services/genworker-app/src/main.py                                                                  | Python             |         14 |          0 |          8 |         22 |
| /home/david/workspace/GenFlow/services/genworker-app/src/sio/SIO.py                                                               | Python             |         52 |          0 |         12 |         64 |
| /home/david/workspace/GenFlow/services/genworker-app/src/ui/UI.py                                                                 | Python             |          9 |          0 |          1 |         10 |
| /home/david/workspace/GenFlow/services/genworker-app/src/ui/console/DashboardScreen.py                                            | Python             |          8 |          0 |          2 |         10 |
| /home/david/workspace/GenFlow/services/genworker-app/src/ui/console/LoginScreen.py                                                | Python             |         14 |          0 |          5 |         19 |
| /home/david/workspace/GenFlow/services/genworker-app/src/ui/console/consoleUI.py                                                  | Python             |         21 |          0 |          7 |         28 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/auth.json                                                          | JSON               |          1 |          0 |          0 |          1 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/Diffusers/Unified/Base/Txt2ImgUnified/Txt2ImgUnified.json | JSON               |         91 |          0 |          1 |         92 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/Diffusers/Unified/Base/Txt2ImgUnified/Txt2ImgUnified.py   | Python             |         37 |          0 |          9 |         46 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/Diffusers/config.json                                     | JSON               |          8 |          0 |          0 |          8 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/GenFlow/File/Save/TextFileSave/TextFileSave.json          | JSON               |         19 |          0 |          1 |         20 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/GenFlow/File/Save/TextFileSave/TextFileSave.py            | Python             |         15 |          0 |          2 |         17 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/GenFlow/Image/Base/ImageSave/ImageSave.json               | JSON               |         19 |          0 |          1 |         20 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/GenFlow/Image/Base/ImageSave/ImageSave.py                 | Python             |         23 |          0 |          6 |         29 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/GenFlow/Number/Base/NumberInput/NumberInput.json          | JSON               |         28 |          0 |          1 |         29 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/GenFlow/Number/Base/NumberInput/NumberInput.py            | Python             |          6 |          0 |          0 |          6 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/GenFlow/Text/Base/TextInput/TextInput.json                | JSON               |         28 |          0 |          1 |         29 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/GenFlow/Text/Base/TextInput/TextInput.py                  | Python             |          6 |          0 |          0 |          6 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/GenFlow/Text/Operations/TextConcat/TextConcat.json        | JSON               |         35 |          0 |          1 |         36 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/GenFlow/Text/Operations/TextConcat/TextConcat.py          | Python             |          6 |          0 |          1 |          7 |
| /home/david/workspace/GenFlow/services/genworker-app/workspace/packages/GenFlow/config.json                                       | JSON               |         12 |          0 |          0 |         12 |
| /home/david/workspace/GenFlow/services/genworker/package.json                                                                     | JSON               |         45 |          0 |          1 |         46 |
| /home/david/workspace/GenFlow/services/genworker/project.json                                                                     | JSON               |         12 |          0 |          1 |         13 |
| /home/david/workspace/GenFlow/services/genworker/src/genworker/genworker.controller.ts                                            | TypeScript         |         72 |          0 |         16 |         88 |
| /home/david/workspace/GenFlow/services/genworker/src/genworker/genworker.module.ts                                                | TypeScript         |         35 |          0 |          8 |         43 |
| /home/david/workspace/GenFlow/services/genworker/src/genworker/services/genworker.service.ts                                      | TypeScript         |        103 |          0 |         27 |        130 |
| /home/david/workspace/GenFlow/services/genworker/src/genworker/services/task.service.ts                                           | TypeScript         |         74 |          0 |         12 |         86 |
| /home/david/workspace/GenFlow/services/genworker/src/genworker/services/task_queue.service.ts                                     | TypeScript         |        157 |          7 |         60 |        224 |
| /home/david/workspace/GenFlow/services/genworker/src/main.ts                                                                      | TypeScript         |         28 |          0 |          5 |         33 |
| /home/david/workspace/GenFlow/services/genworker/tsconfig.app.json                                                                | JSON               |         13 |          1 |          1 |         15 |
| /home/david/workspace/GenFlow/services/genworker/tsconfig.json                                                                    | JSON with Comments |         34 |          0 |          1 |         35 |
| /home/david/workspace/GenFlow/services/graphql/package.json                                                                       | JSON               |         45 |          0 |          1 |         46 |
| /home/david/workspace/GenFlow/services/graphql/project.json                                                                       | JSON               |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/graphql/src/app/app.module.ts                                                              | TypeScript         |         16 |          0 |          4 |         20 |
| /home/david/workspace/GenFlow/services/graphql/src/main.ts                                                                        | TypeScript         |         15 |          0 |          7 |         22 |
| /home/david/workspace/GenFlow/services/graphql/tsconfig.app.json                                                                  | JSON               |         13 |          1 |          1 |         15 |
| /home/david/workspace/GenFlow/services/graphql/tsconfig.json                                                                      | JSON with Comments |         33 |          0 |          1 |         34 |
| /home/david/workspace/GenFlow/services/project/package.json                                                                       | JSON               |         45 |          0 |          1 |         46 |
| /home/david/workspace/GenFlow/services/project/project.json                                                                       | JSON               |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/project/src/main.ts                                                                        | TypeScript         |         37 |          0 |          8 |         45 |
| /home/david/workspace/GenFlow/services/project/src/project/project.controller.ts                                                  | TypeScript         |         56 |          0 |         11 |         67 |
| /home/david/workspace/GenFlow/services/project/src/project/project.module.ts                                                      | TypeScript         |         24 |          0 |          6 |         30 |
| /home/david/workspace/GenFlow/services/project/src/project/project.service.ts                                                     | TypeScript         |        159 |          0 |         43 |        202 |
| /home/david/workspace/GenFlow/services/project/tsconfig.app.json                                                                  | JSON               |         13 |          1 |          1 |         15 |
| /home/david/workspace/GenFlow/services/project/tsconfig.json                                                                      | JSON with Comments |         33 |          0 |          1 |         34 |
| /home/david/workspace/GenFlow/services/socket.io/package.json                                                                     | JSON               |         45 |          0 |          1 |         46 |
| /home/david/workspace/GenFlow/services/socket.io/project.json                                                                     | JSON               |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/socket.io/src/app/app.module.ts                                                            | TypeScript         |         21 |          0 |          4 |         25 |
| /home/david/workspace/GenFlow/services/socket.io/src/app/notifications.gateway.ts                                                 | TypeScript         |         12 |          0 |          4 |         16 |
| /home/david/workspace/GenFlow/services/socket.io/src/app/socket.controller.ts                                                     | TypeScript         |         27 |          0 |          4 |         31 |
| /home/david/workspace/GenFlow/services/socket.io/src/app/socket.gateway.ts                                                        | TypeScript         |         69 |          0 |         15 |         84 |
| /home/david/workspace/GenFlow/services/socket.io/src/app/socket.service.ts                                                        | TypeScript         |        123 |          2 |         37 |        162 |
| /home/david/workspace/GenFlow/services/socket.io/src/main.ts                                                                      | TypeScript         |         50 |          0 |         11 |         61 |
| /home/david/workspace/GenFlow/services/socket.io/tsconfig.app.json                                                                | JSON               |         13 |          1 |          1 |         15 |
| /home/david/workspace/GenFlow/services/socket.io/tsconfig.json                                                                    | JSON with Comments |         33 |          0 |          1 |         34 |
| /home/david/workspace/GenFlow/services/team/package.json                                                                          | JSON               |         45 |          0 |          1 |         46 |
| /home/david/workspace/GenFlow/services/team/project.json                                                                          | JSON               |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/team/src/main.ts                                                                           | TypeScript         |         29 |          0 |          7 |         36 |
| /home/david/workspace/GenFlow/services/team/src/team/team.controller.ts                                                           | TypeScript         |         41 |          0 |          9 |         50 |
| /home/david/workspace/GenFlow/services/team/src/team/team.module.ts                                                               | TypeScript         |         24 |          0 |          6 |         30 |
| /home/david/workspace/GenFlow/services/team/src/team/team.service.ts                                                              | TypeScript         |         86 |          0 |         20 |        106 |
| /home/david/workspace/GenFlow/services/team/tsconfig.app.json                                                                     | JSON               |         13 |          1 |          1 |         15 |
| /home/david/workspace/GenFlow/services/team/tsconfig.json                                                                         | JSON with Comments |         33 |          0 |          1 |         34 |
| /home/david/workspace/GenFlow/services/user/package.json                                                                          | JSON               |         45 |          0 |          1 |         46 |
| /home/david/workspace/GenFlow/services/user/project.json                                                                          | JSON               |         10 |          0 |          1 |         11 |
| /home/david/workspace/GenFlow/services/user/src/main.ts                                                                           | TypeScript         |         28 |          0 |          5 |         33 |
| /home/david/workspace/GenFlow/services/user/src/user/user.controller.ts                                                           | TypeScript         |         32 |          0 |          7 |         39 |
| /home/david/workspace/GenFlow/services/user/src/user/user.module.ts                                                               | TypeScript         |         24 |          0 |          6 |         30 |
| /home/david/workspace/GenFlow/services/user/src/user/user.service.ts                                                              | TypeScript         |        105 |          0 |         21 |        126 |
| /home/david/workspace/GenFlow/services/user/tsconfig.app.json                                                                     | JSON               |         13 |          1 |          1 |         15 |
| /home/david/workspace/GenFlow/services/user/tsconfig.json                                                                         | JSON with Comments |         33 |          0 |          1 |         34 |
| /home/david/workspace/GenFlow/services/web-ui/index.d.ts                                                                          | TypeScript         |          5 |          1 |          1 |          7 |
| /home/david/workspace/GenFlow/services/web-ui/next-env.d.ts                                                                       | TypeScript         |          0 |          5 |          2 |          7 |
| /home/david/workspace/GenFlow/services/web-ui/next.config.js                                                                      | JavaScript         |          8 |          8 |          5 |         21 |
| /home/david/workspace/GenFlow/services/web-ui/package.json                                                                        | JSON               |          7 |          0 |          2 |          9 |
| /home/david/workspace/GenFlow/services/web-ui/postcss.config.js                                                                   | JavaScript         |          6 |          0 |          1 |          7 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/GUI_icon.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/align_center_icon.svg                                           | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/align_end_icon.svg                                              | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/align_start_icon.svg                                            | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/arow_left_icon.svg                                              | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/arrow_down_icon.svg                                             | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/arrow_right_icon.svg                                            | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/arrow_up_icon.svg                                               | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/cross_icon.svg                                                  | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/dashboard_icon.svg                                              | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/executive_servers_icon.svg                                      | XML                |          4 |          0 |          1 |          5 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/flow_icon.svg                                                   | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/flows_icon.svg                                                  | XML                |          4 |          0 |          1 |          5 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/genworkers_icon.svg                                             | XML                |          4 |          0 |          1 |          5 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/info_icon.svg                                                   | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/play_icon.svg                                                   | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/plugins_icon.svg                                                | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/plus_icon.svg                                                   | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/position_default_icon.svg                                       | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/position_down_icon.svg                                          | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/position_left_icon.svg                                          | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/position_right_icon.svg                                         | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/position_up_icon.svg                                            | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/profileimage_icon.svg                                           | XML                |          4 |          0 |          1 |          5 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/settings_icon.svg                                               | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/swap_icon.svg                                                   | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/icons/template_icon.svg                                               | XML                |          3 |          0 |          1 |          4 |
| /home/david/workspace/GenFlow/services/web-ui/public/images/logo_full.svg                                                         | XML                |          9 |          0 |          1 |         10 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(auth)/forgot-password/page.tsx                                             | TypeScript JSX     |          5 |          0 |          3 |          8 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(auth)/layout.tsx                                                           | TypeScript JSX     |         11 |          0 |          5 |         16 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(auth)/login/page.tsx                                                       | TypeScript JSX     |          5 |          0 |          3 |          8 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(auth)/register/page.tsx                                                    | TypeScript JSX     |          5 |          0 |          3 |          8 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(authorized)/(with_menu)/dashboard/page.tsx                                 | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(authorized)/(with_menu)/executive-servers/page.tsx                         | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(authorized)/(with_menu)/flow/page.tsx                                      | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(authorized)/(with_menu)/flows/page.tsx                                     | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(authorized)/(with_menu)/genworkers/page.tsx                                | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(authorized)/(with_menu)/layout.tsx                                         | TypeScript JSX     |         16 |          0 |          4 |         20 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(authorized)/(with_menu)/plugins/page.tsx                                   | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(authorized)/(with_menu)/settings/page.tsx                                  | TypeScript JSX     |          4 |          0 |          2 |          6 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(authorized)/confirm-email/page.tsx                                         | TypeScript JSX     |          5 |          0 |          3 |          8 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/(authorized)/layout.tsx                                                     | TypeScript JSX     |         41 |          0 |         10 |         51 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/globals.css                                                                 | PostCSS            |         28 |          1 |          9 |         38 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/layout.tsx                                                                  | TypeScript JSX     |         26 |          0 |          4 |         30 |
| /home/david/workspace/GenFlow/services/web-ui/src/app/page.tsx                                                                    | TypeScript JSX     |          4 |          0 |          2 |          6 |
